val_acc,epoch,step,train_loss,train_acc,test_acc
0.07199999690055847,0,0,,,
0.07400000095367432,1,1,,,
0.07800000160932541,2,2,,,
0.09599999338388443,3,3,,,
0.10599999874830246,4,4,,,
0.11200001090765,5,5,,,
0.12800000607967377,6,6,,,
0.15399999916553497,7,7,,,
0.17399999499320984,8,8,,,
0.2160000205039978,9,9,,,
0.27000001072883606,10,10,,,
0.3199999928474426,11,11,,,
0.3919999897480011,12,12,,,
0.41999998688697815,13,13,,,
0.4440000057220459,14,14,,,
0.4659999907016754,15,15,,,
0.4959999918937683,16,16,,,
0.5220000147819519,17,17,,,
0.5260000228881836,18,18,,,
0.527999997138977,19,19,,,
0.527999997138977,20,20,,,
0.5339999794960022,21,21,,,
0.5379999876022339,22,22,,,
0.5419999957084656,23,23,,,
0.5460000038146973,24,24,,,
0.5540000200271606,25,25,,,
0.5619999766349792,26,26,,,
0.5640000104904175,27,27,,,
0.5619999766349792,28,28,,,
0.5619999766349792,29,29,,,
0.5600000023841858,30,30,,,
0.5600000023841858,31,31,,,
0.5559999942779541,32,32,,,
0.5580000281333923,33,33,,,
0.5640000104904175,34,34,,,
0.5640000104904175,35,35,,,
0.5659999847412109,36,36,,,
0.5699999928474426,37,37,,,
0.5720000267028809,38,38,,,
0.5720000267028809,39,39,,,
0.5699999928474426,40,40,,,
0.5680000185966492,41,41,,,
0.5640000104904175,42,42,,,
0.5659999847412109,43,43,,,
0.5680000185966492,44,44,,,
0.5720000267028809,45,45,,,
0.5720000267028809,46,46,,,
0.5680000185966492,47,47,,,
0.5680000185966492,48,48,,,
,49,49,0.07617315649986267,0.9857142567634583,
0.5659999847412109,49,49,,,
0.5680000185966492,50,50,,,
0.5720000267028809,51,51,,,
0.5720000267028809,52,52,,,
0.5699999928474426,53,53,,,
0.5680000185966492,54,54,,,
0.5680000185966492,55,55,,,
0.5699999928474426,56,56,,,
0.5699999928474426,57,57,,,
0.5720000267028809,58,58,,,
0.5699999928474426,59,59,,,
0.5680000185966492,60,60,,,
0.5699999928474426,61,61,,,
0.5720000267028809,62,62,,,
0.5720000267028809,63,63,,,
0.5699999928474426,64,64,,,
0.5720000267028809,65,65,,,
0.5740000009536743,66,66,,,
0.5740000009536743,67,67,,,
0.5740000009536743,68,68,,,
0.5720000267028809,69,69,,,
0.5680000185966492,70,70,,,
0.5680000185966492,71,71,,,
0.5680000185966492,72,72,,,
0.5699999928474426,73,73,,,
0.5680000185966492,74,74,,,
0.5680000185966492,75,75,,,
0.5640000104904175,76,76,,,
0.5640000104904175,77,77,,,
0.5640000104904175,78,78,,,
0.5619999766349792,79,79,,,
0.5619999766349792,80,80,,,
0.5619999766349792,81,81,,,
0.5619999766349792,82,82,,,
0.5619999766349792,83,83,,,
0.5619999766349792,84,84,,,
0.5619999766349792,85,85,,,
0.5659999847412109,86,86,,,
0.5659999847412109,87,87,,,
0.5619999766349792,88,88,,,
0.5600000023841858,89,89,,,
0.5600000023841858,90,90,,,
0.5619999766349792,91,91,,,
0.5580000281333923,92,92,,,
0.5600000023841858,93,93,,,
0.5600000023841858,94,94,,,
0.5619999766349792,95,95,,,
0.5619999766349792,96,96,,,
0.5619999766349792,97,97,,,
0.5600000023841858,98,98,,,
,99,99,0.028070824220776558,1.0,
0.5600000023841858,99,99,,,
0.5619999766349792,100,100,,,
0.5619999766349792,101,101,,,
0.5640000104904175,102,102,,,
0.5640000104904175,103,103,,,
0.5640000104904175,104,104,,,
0.5600000023841858,105,105,,,
0.5600000023841858,106,106,,,
0.5559999942779541,107,107,,,
0.5540000200271606,108,108,,,
0.5540000200271606,109,109,,,
0.5559999942779541,110,110,,,
0.5559999942779541,111,111,,,
0.5559999942779541,112,112,,,
0.5559999942779541,113,113,,,
0.5519999861717224,114,114,,,
0.5519999861717224,115,115,,,
0.550000011920929,116,116,,,
0.550000011920929,117,117,,,
0.5460000038146973,118,118,,,
0.550000011920929,119,119,,,
0.550000011920929,120,120,,,
0.550000011920929,121,121,,,
0.550000011920929,122,122,,,
0.550000011920929,123,123,,,
0.550000011920929,124,124,,,
0.550000011920929,125,125,,,
0.550000011920929,126,126,,,
0.5540000200271606,127,127,,,
0.5559999942779541,128,128,,,
0.5580000281333923,129,129,,,
0.5580000281333923,130,130,,,
0.5619999766349792,131,131,,,
0.5640000104904175,132,132,,,
0.5619999766349792,133,133,,,
0.5600000023841858,134,134,,,
0.5600000023841858,135,135,,,
0.5600000023841858,136,136,,,
0.5619999766349792,137,137,,,
0.5619999766349792,138,138,,,
0.5619999766349792,139,139,,,
0.5600000023841858,140,140,,,
0.5600000023841858,141,141,,,
0.5600000023841858,142,142,,,
0.5580000281333923,143,143,,,
0.5600000023841858,144,144,,,
